# Generated by ../matriz.pl date: Tue Sep 17 09:43:57 2013
# pairs file: pairs_conservative.txt symetric matrix 173 fragments
0,12,8,261,14,11,12,11,19,8,12,11,19,9,13,11,12,10,19,9,11,18,7,19,21,14,9,12,21,268,9,8,12,8,9,11,7,10,8,9,8,12,18,8,8,11,12,12,14,8,10,21,8,35,10,11,8,10,11,10,11,11,8,8,55,8,9,9,8,12,12,11,9,8,11,7,8,19,168,8,228,11,11,8,9,9,9,12,8,9,10,10,11,10,7,8,15,11,8,11,12,8,8,10,9,11,19,8,9,11,18,19,8,19,21,12,9,8,8,11,10,8,12,10,9,12,8,8,11,8,8,9,12,8,8,12,21,11,11,10,7,8,12,12,10,8,8,18,12,11,8,11,11,11,8,9,11,19,12,11,11,7,57,9,19,11,10,21,21,8,31,9,19
12,0,10,12,24,14,322,8,15,10,304,10,15,11,14,14,8,17,15,61,8,10,8,15,14,24,12,13,10,12,12,10,13,8,13,24,20,10,13,14,10,13,10,14,12,14,12,8,13,10,9,10,17,15,9,14,9,10,9,14,15,8,15,15,13,10,12,11,14,9,13,130,13,11,13,20,15,9,11,8,12,242,8,10,184,8,13,13,13,8,8,14,10,10,20,11,20,9,13,237,13,8,14,10,13,9,9,15,12,9,15,9,8,11,14,170,13,10,8,8,14,10,13,17,12,8,15,15,14,10,12,13,13,14,8,11,10,8,213,14,20,9,187,306,10,13,10,10,9,7,15,10,10,8,8,13,9,9,9,10,8,20,15,11,9,14,16,14,10,14,13,13,9
8,10,0,8,12,12,10,13,9,356,10,15,9,9,13,12,11,24,9,15,12,143,17,9,11,12,9,8,8,8,10,278,8,9,15,12,18,10,9,13,9,16,156,8,15,13,9,8,9,339,9,8,13,15,13,12,23,10,23,17,15,80,9,15,8,144,10,9,12,16,16,10,15,274,9,17,15,9,8,220,8,10,12,393,10,17,18,8,9,17,15,9,15,9,17,16,10,12,13,10,16,9,8,10,18,23,11,9,10,23,24,9,304,11,11,9,8,331,178,12,15,279,16,13,15,9,9,15,13,338,9,18,9,12,9,9,8,13,10,19,17,13,9,10,10,9,298,134,12,12,9,15,196,12,17,17,32,11,16,190,12,17,15,9,12,13,17,13,8,12,11,17,8
261,12,8,0,8,7,12,8,9,8,12,11,9,9,13,7,12,10,9,9,12,18,7,14,17,14,9,12,17,347,9,8,12,8,9,11,7,10,9,21,17,12,18,8,14,11,12,12,16,8,10,17,12,121,10,7,8,10,11,10,66,11,14,14,48,8,9,9,8,12,12,11,9,8,11,15,70,9,161,8,314,11,12,8,9,9,9,12,9,9,10,10,11,10,7,8,15,7,9,11,12,8,8,10,9,11,19,12,9,11,18,9,8,9,17,12,16,8,8,12,10,8,12,10,9,12,8,14,11,8,11,9,12,8,8,12,17,12,11,10,7,11,12,12,10,9,8,18,12,12,14,11,11,12,8,9,11,9,12,11,12,7,143,9,19,11,10,21,17,8,24,9,9
14,24,12,8,0,12,8,9,28,12,8,8,28,12,9,12,11,13,28,11,10,12,8,28,8,218,11,10,8,14,165,12,10,9,11,122,10,10,10,10,9,13,12,8,11,18,11,11,11,12,13,8,21,12,13,12,11,10,11,12,12,11,28,11,11,15,12,12,12,13,10,8,11,12,11,10,12,28,14,11,12,8,10,12,8,8,9,10,17,8,8,12,8,10,10,13,10,12,17,8,13,8,8,10,9,11,9,9,43,14,12,28,12,9,8,24,11,12,11,10,12,12,13,13,230,11,9,11,8,12,9,9,10,8,9,11,8,10,8,10,10,17,24,8,10,17,12,12,12,10,28,8,12,10,11,9,8,9,13,12,10,10,12,12,9,10,10,9,8,8,11,9,28
11,14,12,7,12,0,9,8,12,12,9,8,12,9,8,278,9,10,12,9,9,15,20,12,8,12,9,18,14,11,12,12,18,8,9,9,8,19,8,14,11,18,15,134,11,14,9,9,24,12,10,13,14,10,10,288,8,19,12,9,10,8,11,11,24,8,10,9,236,18,18,9,18,12,11,8,10,12,7,12,10,9,8,12,9,12,12,18,11,8,9,10,8,19,8,22,19,231,14,9,18,8,85,19,12,12,113,11,10,12,15,12,12,12,8,14,24,12,8,9,9,12,11,11,12,8,8,11,14,12,11,9,18,200,8,12,14,8,9,9,8,14,14,9,19,14,12,15,170,9,12,8,8,9,18,12,9,87,10,8,8,8,10,9,190,8,9,8,14,208,24,12,12
12,322,10,12,8,9,0,8,15,10,324,12,15,11,14,9,8,17,15,95,8,10,12,15,14,9,12,13,10,12,12,10,13,8,13,9,20,10,13,8,10,13,10,11,12,12,12,8,13,10,9,10,17,12,9,9,9,10,9,14,12,8,15,12,13,10,12,11,11,9,13,164,13,11,13,20,12,9,11,8,12,276,8,10,218,8,13,13,8,8,8,14,12,10,20,11,10,9,9,271,13,8,11,10,13,9,9,15,12,9,15,9,8,11,14,119,13,10,8,8,14,10,13,17,12,8,15,15,12,10,12,9,13,11,8,11,10,8,247,14,20,9,136,338,10,9,10,10,9,7,15,12,10,8,12,17,9,9,9,10,8,20,12,11,9,20,14,14,10,11,13,17,9
11,8,13,8,9,8,8,0,9,13,8,12,9,11,167,14,9,10,8,11,212,13,13,21,17,9,11,13,12,11,9,13,13,8,11,11,12,9,8,19,9,13,13,12,21,14,11,9,11,13,16,12,10,21,9,14,8,9,8,9,8,10,21,21,8,13,9,11,12,13,13,8,9,12,11,12,21,9,8,10,11,8,322,13,8,8,9,13,8,8,9,9,12,9,12,12,10,9,9,8,13,10,12,9,9,8,9,9,9,14,11,9,10,9,10,10,8,13,10,214,8,13,13,10,9,9,9,21,12,13,9,8,13,12,8,11,12,356,8,42,12,9,10,8,9,8,13,13,9,200,21,12,13,223,13,9,10,9,13,13,295,12,8,11,9,11,9,100,12,12,8,9,9
19,15,9,9,28,12,15,9,0,9,9,8,374,9,9,12,14,9,310,9,9,10,9,321,9,10,9,14,9,19,8,9,14,11,9,10,14,9,9,17,9,14,10,12,133,17,9,8,19,9,16,9,9,9,10,12,9,19,9,22,9,29,221,105,24,10,8,9,12,14,14,9,9,9,19,12,25,290,24,9,9,9,9,9,9,11,12,14,9,11,22,9,7,19,9,12,28,12,9,9,14,11,12,9,12,9,110,9,8,19,10,307,9,213,9,28,24,9,9,9,22,9,14,16,12,9,15,143,17,9,9,14,14,12,11,9,9,9,9,9,14,9,28,9,19,9,9,10,13,9,272,11,8,9,8,12,29,194,14,10,9,9,9,9,123,17,22,22,9,12,24,12,251
8,10,356,8,12,12,10,13,9,0,10,14,9,9,13,12,11,24,9,15,12,178,17,9,11,12,9,8,9,8,10,306,8,9,15,12,18,10,9,13,9,16,191,8,15,13,9,8,9,374,9,9,24,15,13,12,23,10,23,17,15,10,9,15,8,179,10,9,12,16,16,10,15,255,9,17,15,9,8,150,8,10,12,390,10,17,18,8,9,17,15,9,14,9,17,16,10,12,24,10,16,9,8,10,18,23,11,9,10,23,31,9,234,11,11,9,8,366,108,12,15,299,16,24,15,11,9,9,13,365,9,18,9,12,9,9,9,13,10,19,17,24,9,10,10,9,333,169,12,12,9,14,231,12,17,17,24,11,16,225,12,17,15,9,12,13,17,13,9,12,11,17,8
12,304,10,12,8,9,324,8,9,10,0,12,15,12,14,9,8,17,15,81,8,10,12,15,14,9,12,13,10,12,12,10,13,8,13,9,20,10,13,8,10,13,10,11,12,12,12,8,13,10,9,10,17,12,9,9,9,10,9,14,12,8,15,12,13,10,12,12,11,9,13,150,13,11,13,20,12,9,11,8,12,262,8,10,204,8,13,13,8,8,8,14,12,10,20,11,10,9,9,257,13,8,11,10,13,9,9,15,12,9,15,9,8,11,14,101,13,10,8,8,14,10,13,17,12,8,15,15,12,10,12,9,13,11,8,8,10,8,233,14,20,9,118,324,10,9,10,10,9,7,15,12,10,8,12,17,9,9,9,10,8,20,12,12,9,20,14,14,10,11,13,17,9
11,10,15,11,8,8,12,12,8,14,12,0,11,11,12,8,9,10,11,8,14,14,11,8,8,17,11,9,11,11,12,15,9,27,8,17,8,9,10,95,11,25,14,9,8,160,8,9,9,15,11,11,16,21,11,8,9,9,9,19,21,15,8,8,9,14,9,8,9,9,9,14,11,15,9,8,21,8,11,15,11,8,12,15,14,184,18,10,10,230,19,12,284,9,8,9,13,8,10,8,25,27,9,9,57,9,8,11,9,9,8,8,15,8,11,10,9,15,15,14,19,15,9,10,8,9,11,8,167,15,11,12,10,9,27,8,11,12,14,12,8,10,10,8,9,10,15,14,8,14,8,349,14,14,11,129,17,8,9,14,8,8,21,11,8,17,9,12,11,9,9,144,8
19,15,9,9,28,12,15,9,374,9,15,11,0,9,9,12,9,9,303,9,9,10,9,314,9,10,9,14,9,12,8,9,14,11,9,10,9,9,9,17,9,14,10,12,126,17,9,9,19,9,10,9,9,9,7,12,9,19,9,22,9,29,214,98,24,10,8,9,12,14,14,9,9,9,19,12,18,290,24,9,9,9,9,9,9,11,12,14,9,11,22,9,7,19,9,12,28,12,9,9,14,11,12,9,12,9,162,9,8,19,10,350,9,265,9,28,24,9,9,9,22,9,14,16,12,9,13,136,17,9,13,14,14,12,11,9,9,9,9,9,9,9,28,9,19,9,9,10,65,9,265,11,8,9,8,12,29,246,14,10,9,9,9,9,175,17,22,22,9,12,24,12,303
9,11,9,9,12,9,11,11,9,9,12,11,9,0,11,12,15,9,9,14,8,20,11,9,15,12,244,12,15,9,12,8,12,8,14,9,12,8,12,25,8,8,20,12,9,25,278,15,18,12,127,15,9,16,14,12,18,8,18,15,16,9,9,9,18,20,12,326,12,11,8,14,9,9,18,9,16,9,9,12,16,24,7,9,14,8,15,12,12,8,15,8,8,8,12,24,8,12,12,24,8,7,12,8,8,18,12,8,12,18,8,9,12,9,15,11,18,12,12,8,15,8,11,9,11,8,8,9,25,12,8,9,12,12,8,262,15,11,14,8,9,24,11,12,8,12,8,20,8,8,9,8,8,8,11,8,9,9,24,8,7,9,16,310,12,25,15,15,15,12,14,8,9
13,14,13,13,9,8,14,167,9,13,14,12,9,11,0,8,9,16,11,8,23,13,13,9,124,9,11,13,8,7,9,13,13,12,8,8,22,8,8,10,8,13,13,7,8,10,11,9,13,13,16,56,7,8,16,8,9,8,9,8,8,10,8,15,13,13,9,11,7,13,13,8,8,12,9,11,8,9,8,10,8,14,133,13,14,8,8,13,8,8,9,9,12,8,11,13,10,9,8,14,13,12,7,8,8,9,9,11,9,9,7,9,10,9,117,10,13,13,10,25,8,13,13,8,9,9,11,8,12,13,11,8,13,7,12,11,71,185,14,13,11,11,10,14,8,8,13,13,9,11,8,12,13,34,14,8,10,9,13,13,106,11,8,11,9,22,9,207,8,7,13,8,9
