# Generated by ../matriz.pl date: Tue Sep 17 09:40:22 2013
# pairs file: pairs_conservative.txt symetric matrix 127 fragments
0,12,8,253,9,11,12,11,19,8,12,11,19,9,7,11,12,10,19,9,11,18,7,19,8,9,9,11,12,11,10,67,18,15,9,11,7,10,8,11,8,12,18,8,8,11,12,12,11,9,10,12,9,9,10,9,7,18,8,8,7,11,9,7,8,247,9,11,8,12,12,11,9,8,8,10,19,10,10,8,11,8,9,8,10,12,21,11,8,8,9,12,14,10,11,10,8,14,7,12,8,19,19,11,10,109,12,11,8,11,8,11,9,208,11,10,14,260,7,10,9,10,11,8,10,11,10
12,0,10,12,12,14,389,8,15,10,355,10,15,11,14,14,8,17,15,218,8,10,12,15,8,304,13,14,397,24,10,13,10,10,13,24,20,10,13,14,10,13,10,14,15,14,12,8,13,11,17,296,12,12,13,13,17,10,12,8,20,7,12,14,9,12,12,9,14,9,13,197,13,11,8,10,15,10,12,20,8,14,9,9,17,320,19,14,15,12,12,14,9,14,10,17,8,13,14,11,8,9,9,9,14,13,227,14,8,10,10,8,115,12,10,10,13,12,9,14,13,12,9,12,17,8,14
8,10,0,8,12,12,10,13,9,344,10,17,9,12,13,12,10,13,9,10,12,230,17,9,9,10,18,10,10,71,10,8,324,10,15,57,18,10,13,10,12,13,230,8,15,10,12,10,9,9,9,9,17,10,8,18,10,267,17,12,18,12,10,10,370,8,10,143,12,16,13,10,15,270,9,10,9,10,10,9,12,16,17,23,24,10,8,12,15,9,10,12,18,10,17,13,9,8,13,12,12,9,9,64,10,8,10,10,9,17,9,12,12,8,12,9,8,8,16,9,17,10,223,15,9,12,9
253,12,8,0,9,10,12,12,14,8,12,11,14,9,8,10,12,10,9,9,12,18,8,14,8,9,9,21,12,11,16,60,18,16,9,11,7,16,9,11,17,12,18,10,14,11,12,12,12,16,10,12,13,9,12,9,9,18,13,13,7,12,9,15,8,240,9,11,10,12,12,8,13,8,8,16,14,16,10,8,12,10,12,8,10,12,21,10,43,17,9,10,9,10,11,10,8,12,8,12,8,9,9,11,10,102,16,21,8,11,17,12,13,201,11,16,12,361,14,10,13,10,11,14,10,12,10
9,12,12,9,0,12,12,10,12,12,12,8,12,11,9,12,11,13,12,11,10,12,11,12,8,8,9,10,12,115,10,11,12,10,11,111,10,10,10,10,9,13,12,8,11,18,11,8,11,11,13,12,11,218,11,9,12,12,11,11,10,10,93,10,12,9,207,61,13,13,13,8,11,12,8,10,12,10,51,9,10,13,11,11,13,12,8,12,12,9,234,12,9,12,8,13,9,11,9,18,9,12,12,8,12,11,12,10,9,8,9,10,11,9,8,10,11,9,13,13,11,23,8,11,13,10,12
11,14,12,10,12,0,9,8,12,12,14,12,12,9,9,278,9,10,12,11,9,15,14,12,8,11,12,8,11,9,19,24,12,19,11,9,8,19,14,14,8,18,15,135,11,14,9,9,24,10,10,14,18,12,24,12,10,12,18,18,8,9,8,8,12,7,9,9,224,18,18,11,18,12,8,19,12,19,10,8,9,116,12,8,11,14,7,319,10,8,10,319,9,10,8,10,8,24,9,12,8,192,152,9,9,24,14,14,8,12,8,9,11,13,8,19,11,11,18,10,18,10,9,11,10,9,10
12,389,10,12,12,9,0,8,15,10,330,9,15,11,14,9,8,17,15,240,8,10,12,15,8,326,9,20,411,9,10,13,10,10,35,9,20,10,13,14,10,13,10,8,12,14,12,8,13,11,17,245,12,12,13,13,8,10,12,8,20,8,12,20,9,12,12,9,18,9,13,219,13,11,8,10,15,10,12,20,8,9,9,9,17,269,19,9,12,12,12,9,9,14,8,17,8,13,14,11,20,9,9,9,14,13,176,20,8,9,10,8,137,12,14,10,13,12,9,14,13,12,9,12,17,8,17
11,8,13,12,10,8,8,0,21,13,8,12,21,11,154,14,9,10,8,11,267,13,13,21,12,11,9,12,8,11,9,10,13,10,11,11,12,9,8,12,12,13,13,12,21,12,11,9,10,16,10,10,13,10,11,9,9,13,12,9,12,196,9,11,12,8,10,10,12,13,13,8,9,12,12,9,21,9,9,12,266,13,9,11,10,10,11,9,21,12,10,9,8,15,12,10,12,10,291,11,12,9,9,11,9,11,10,12,12,12,12,275,9,8,12,9,10,12,13,15,13,15,10,21,10,342,42
19,15,9,14,12,12,15,21,0,10,9,11,453,9,9,12,14,16,360,9,21,10,9,440,11,9,12,17,9,10,19,24,10,28,9,10,14,9,9,17,11,14,10,12,205,17,9,8,19,9,9,28,9,12,24,12,12,10,9,9,14,9,12,16,9,24,12,10,12,14,14,9,9,9,11,19,431,9,8,15,21,12,12,9,9,28,22,12,304,11,12,12,21,9,11,9,11,19,9,9,11,226,254,10,22,24,28,17,11,15,11,21,9,24,8,19,9,14,14,9,9,9,10,197,9,9,9
8,10,344,8,12,12,10,13,10,0,10,17,10,9,13,12,11,24,10,10,12,356,16,10,9,10,18,13,10,12,10,8,450,10,15,12,18,10,9,13,12,9,356,8,17,13,9,8,9,9,13,9,17,10,11,18,10,393,17,12,18,12,10,18,307,11,10,24,12,9,9,10,15,251,9,10,10,10,10,9,12,9,17,23,24,10,9,12,17,9,10,12,18,10,17,24,9,8,13,9,12,10,10,24,17,11,10,13,9,17,9,12,12,8,12,9,8,8,9,9,16,10,37,17,13,12,9
