# Generated by ../matriz.pl date: Tue Sep 17 09:51:55 2013
# pairs file: pairs_raw.txt symetric matrix 66 fragments
0,17,48,265,36,36,17,13,115,48,17,22,13,19,51,13,13,16,266,16,256,32,17,20,184,9,185,13,156,264,25,48,17,51,22,14,22,13,16,48,51,26,26,133,51,222,12,48,51,17,26,26,26,26,19,183,9,17,43,12,72,26,163,18,82,113
17,0,23,17,14,19,354,13,17,23,309,13,13,12,24,13,13,13,17,13,17,13,19,23,17,23,13,16,13,17,194,23,230,19,13,16,18,16,13,13,24,13,26,13,9,17,71,13,24,19,13,18,18,16,9,17,18,19,13,143,13,44,44,44,17,17
48,23,0,48,161,193,23,10,39,296,67,27,18,37,239,8,14,18,48,27,38,26,146,26,26,26,26,14,255,66,16,226,30,298,27,12,13,12,18,196,304,143,143,248,92,19,66,210,288,230,143,13,13,13,62,19,10,193,235,30,255,96,19,289,30,19
265,17,48,0,19,18,17,13,197,48,17,22,13,19,49,13,13,16,347,80,265,32,69,20,266,9,182,13,153,268,25,48,17,49,22,14,22,13,16,48,49,26,12,130,49,304,12,48,49,17,26,26,26,26,19,265,9,17,40,12,69,12,245,18,164,195
36,14,161,19,0,76,10,34,39,31,31,15,13,13,13,49,12,13,19,18,20,15,76,138,19,9,10,12,22,22,19,10,29,76,15,12,14,12,13,15,58,58,29,15,8,19,29,15,42,76,22,13,13,13,13,19,10,76,22,29,22,29,19,133,30,19
36,19,193,18,76,0,19,12,150,152,68,13,9,12,111,13,12,9,19,10,17,13,254,13,17,12,29,12,124,59,20,78,11,302,33,33,20,9,9,48,176,124,124,124,12,58,59,56,170,302,124,30,15,15,15,84,9,277,124,10,124,59,17,193,139,78
17,354,23,17,10,19,0,13,17,23,290,13,13,9,24,13,13,13,17,13,17,13,19,23,17,23,13,16,13,17,196,23,211,19,13,16,20,16,13,13,24,13,13,13,9,17,52,13,24,19,13,18,18,16,9,17,18,19,13,124,13,25,25,25,17,17
13,13,10,13,34,12,13,0,13,11,13,11,85,19,19,356,284,83,23,23,23,11,20,225,13,9,13,295,10,13,13,11,30,12,11,176,10,133,10,11,19,10,30,10,19,13,30,11,19,12,30,9,9,148,51,13,9,12,10,30,14,30,13,22,13,13
115,17,39,197,39,150,17,13,0,21,17,14,13,15,11,13,13,13,198,10,124,13,252,28,211,28,32,13,13,120,13,21,17,155,38,38,14,13,15,21,24,24,12,15,11,289,12,21,23,193,73,73,22,22,22,315,12,125,13,12,13,12,234,39,336,306
48,23,296,48,31,152,23,11,21,0,30,45,21,37,239,11,11,21,48,10,38,121,102,21,21,21,152,9,255,48,13,290,30,254,32,9,27,21,21,290,278,143,143,248,92,21,66,304,278,186,164,56,10,10,62,21,10,149,235,23,255,96,21,188,21,21
