# Generated by ../matriz.pl date: Tue Sep 17 09:46:28 2013
# pairs file: pairs_raw.txt symetric matrix 177 fragments
0,12,15,253,9,16,12,11,19,11,12,15,19,19,19,19,12,10,19,9,11,18,18,19,21,14,17,12,21,260,14,11,12,245,18,12,18,11,11,11,17,12,18,18,18,11,17,12,17,15,10,21,11,27,10,13,17,10,17,11,11,15,9,9,132,11,10,21,10,17,10,10,10,10,17,9,51,19,158,15,260,11,11,11,9,12,13,12,11,9,11,18,15,10,8,8,10,11,11,12,12,13,21,11,8,17,10,17,10,17,10,19,15,19,27,25,73,18,15,11,11,11,12,10,14,29,8,8,11,11,17,13,12,13,8,164,23,17,12,15,8,11,25,12,10,11,18,18,12,11,19,11,11,11,12,13,15,19,13,18,12,8,77,17,19,11,11,21,21,13,19,12,19,10,10,10,10
12,0,15,12,24,14,389,16,17,10,354,10,17,11,16,14,9,17,17,218,8,10,21,37,19,10,37,13,37,37,14,14,14,14,14,14,20,16,13,14,13,13,10,14,17,14,9,16,13,15,16,19,17,11,16,14,11,12,16,16,12,15,17,17,17,10,18,13,11,11,13,197,17,12,13,21,12,9,9,15,15,309,11,10,251,10,13,13,13,10,16,9,10,16,21,11,12,14,17,315,13,14,19,13,9,11,9,13,12,16,15,17,15,9,19,157,13,10,15,8,16,11,13,17,17,11,17,17,14,14,13,13,13,14,13,12,13,13,13,24,21,13,174,374,16,13,10,10,14,8,17,12,11,8,21,15,15,9,14,10,16,21,12,11,9,21,16,19,10,14,13,13,13,9,13,9,102
15,15,0,15,12,12,10,13,10,343,115,17,10,12,13,12,12,13,10,10,17,230,17,10,13,24,12,15,12,15,10,297,15,15,9,57,12,10,13,10,12,15,230,9,15,10,12,10,16,444,12,12,19,15,12,12,23,10,23,10,15,203,10,15,15,131,13,12,13,13,13,13,15,269,23,17,15,13,15,278,15,19,11,389,126,126,45,45,45,45,39,39,39,39,17,16,10,12,13,10,15,12,13,13,9,23,9,12,13,16,10,10,408,14,13,15,8,318,286,123,123,293,31,13,13,13,13,13,13,326,32,17,13,12,10,11,10,12,13,10,17,13,15,10,23,17,284,122,84,66,44,44,183,27,27,24,136,14,16,179,13,17,15,12,14,10,10,13,12,12,9,17,14,17,13,13,15
253,12,15,0,10,13,11,12,14,10,12,15,14,9,9,10,12,15,14,11,12,18,18,14,17,12,17,15,17,396,14,15,15,238,13,12,18,16,11,15,17,15,18,13,14,11,17,12,13,15,10,17,15,170,10,13,29,16,29,11,114,11,14,14,125,13,10,17,10,17,15,11,10,10,13,18,194,14,151,14,396,115,28,15,11,12,13,15,11,9,11,18,15,16,15,13,16,8,15,12,15,13,21,11,9,29,14,17,10,13,10,14,15,14,27,25,66,18,9,12,11,15,13,15,15,29,15,15,15,15,17,13,15,13,9,264,23,17,12,15,18,11,25,12,16,11,18,18,12,12,14,11,11,12,14,13,15,14,13,18,12,15,220,17,14,21,16,21,17,13,13,12,14,10,10,10,13
9,24,12,10,0,12,14,19,9,23,24,8,9,22,9,12,11,13,25,12,19,12,11,9,8,249,22,10,11,12,271,12,10,9,11,110,110,12,17,10,11,10,12,10,11,18,22,14,15,12,13,11,21,12,13,18,14,12,15,12,12,12,12,11,11,11,12,11,14,22,10,11,12,23,15,10,12,25,9,9,12,11,19,12,14,9,12,10,17,14,12,14,8,12,10,13,12,28,17,17,10,12,9,17,11,18,12,28,109,15,12,25,12,9,8,12,11,23,12,19,12,23,10,13,251,21,21,21,21,23,21,12,10,12,11,11,11,11,10,22,10,17,12,12,12,17,23,12,12,19,9,8,12,19,12,12,11,12,13,12,19,10,12,22,12,10,12,9,11,12,11,12,9,14,14,14,12
16,14,12,13,12,0,14,16,12,12,14,12,12,22,9,278,11,15,12,15,16,15,15,12,13,28,22,11,16,13,28,12,8,24,24,9,8,19,14,12,9,22,15,135,18,17,22,11,24,12,22,16,14,18,15,290,15,19,15,11,18,9,12,18,24,15,10,9,10,22,21,11,15,12,16,20,18,12,13,12,13,11,16,12,15,12,12,22,8,12,11,11,11,19,16,16,19,259,14,14,22,319,13,14,11,15,130,9,10,10,10,12,12,63,13,14,24,15,12,16,10,12,22,15,28,11,11,12,17,12,9,11,22,237,11,13,11,9,11,12,16,16,14,14,19,14,15,15,211,16,12,17,11,16,18,12,9,199,78,15,16,16,16,22,206,12,19,13,16,253,24,12,71,16,8,10,15
12,389,10,11,14,14,0,16,17,10,329,10,17,11,16,14,11,17,17,240,17,11,21,37,19,10,37,13,37,37,14,14,14,14,14,14,20,12,13,12,10,13,11,11,17,12,9,18,13,15,16,19,17,11,16,14,11,12,16,18,12,15,17,17,17,11,18,10,9,11,13,219,17,12,13,20,12,17,11,15,12,331,11,10,273,10,10,13,15,10,18,9,8,12,20,11,12,14,17,315,13,9,19,13,9,16,9,8,12,16,17,17,15,11,19,106,13,11,15,17,18,11,13,17,17,11,17,17,17,11,12,12,13,11,8,12,11,11,13,24,20,13,123,381,12,13,11,10,14,17,17,13,11,17,21,15,15,9,13,11,16,20,12,11,9,20,12,19,10,11,13,10,17,9,13,9,124
11,16,13,12,19,16,16,0,21,13,16,12,21,11,153,16,9,12,13,16,267,13,13,21,66,11,11,13,17,13,12,13,13,10,12,11,12,14,14,12,17,13,13,12,21,12,11,9,12,13,10,17,12,13,13,16,13,14,13,15,13,10,21,21,12,13,11,17,148,11,13,16,9,13,13,12,13,13,13,13,13,16,377,13,16,12,21,13,10,10,12,11,12,14,12,12,14,16,12,16,13,12,184,17,17,13,13,12,19,13,11,13,13,13,70,14,12,13,13,269,15,13,13,12,12,12,12,21,14,13,12,21,13,12,12,13,9,17,10,11,12,9,15,16,14,14,13,13,9,254,21,12,15,277,21,21,11,13,13,13,404,12,13,13,13,11,14,174,17,17,17,10,13,254,13,15,9
19,17,10,14,9,12,17,21,0,10,17,19,453,9,13,12,17,16,359,11,9,11,20,439,74,74,74,64,64,49,19,19,19,19,19,25,19,22,9,17,15,14,11,12,205,17,14,18,14,10,16,22,15,147,14,12,14,22,19,14,28,29,346,209,24,10,12,22,9,9,14,15,12,10,14,17,97,297,24,10,24,14,14,10,11,19,19,14,17,19,22,12,12,22,17,12,28,12,15,17,14,12,13,22,15,19,150,15,12,19,10,358,29,199,13,28,24,11,10,9,22,9,14,16,12,13,15,240,17,11,15,21,14,12,15,14,9,11,9,9,14,16,28,17,22,12,11,10,13,9,414,19,11,9,20,19,29,180,14,11,21,17,14,9,230,17,22,13,22,12,24,19,237,9,14,9,12
11,10,343,10,23,12,10,13,10,0,10,17,10,9,13,12,11,24,10,11,12,356,71,10,13,23,9,12,12,15,23,328,12,8,9,12,18,10,19,13,12,15,356,73,22,13,9,9,9,433,117,117,117,77,77,77,77,77,77,77,77,77,77,77,69,258,69,33,22,22,22,22,22,251,22,22,22,22,22,150,22,22,22,470,18,18,18,12,10,17,17,13,9,10,17,17,10,12,24,10,15,12,13,24,24,23,11,12,13,16,121,10,222,100,37,10,8,445,111,13,13,312,15,24,23,12,12,12,13,426,16,18,10,12,9,15,9,22,22,22,17,19,22,10,22,19,411,248,29,12,10,13,252,12,17,18,24,12,15,304,13,17,22,17,11,13,10,13,12,12,12,17,11,12,12,13,15
