# Generated by ../matriz.pl date: Tue Sep 17 10:38:03 2013
# pairs file: pairs_conservative.txt symetric matrix 39 fragments
0,11,48,304,10,12,13,11,10,163,247,48,20,9,13,19,51,8,51,14,13,11,13,48,11,107,13,9,32,14,11,11,10,286,48,10,11,11,14
11,0,23,11,20,11,9,331,302,9,11,23,11,18,9,9,9,13,11,281,9,413,13,23,168,11,9,18,13,39,412,20,155,11,23,247,274,20,53
48,23,0,48,225,193,8,23,23,255,10,178,262,14,8,49,210,149,322,13,8,13,12,366,13,130,8,9,10,10,13,363,22,217,327,23,13,353,27
304,11,48,0,13,27,13,11,10,160,327,48,43,9,13,19,51,13,51,14,13,11,13,48,11,200,13,9,32,14,11,11,10,283,48,10,11,11,14
10,20,225,13,0,107,13,11,10,48,10,12,107,17,13,8,10,279,107,20,13,20,106,104,20,107,12,17,20,8,20,252,22,19,65,10,20,250,20
12,11,193,27,107,0,15,11,11,124,14,10,346,8,15,8,88,26,241,11,15,11,12,193,20,276,12,7,10,10,11,193,15,93,150,11,11,193,9
13,9,8,13,13,15,0,9,30,8,13,33,15,9,414,9,9,13,8,9,301,9,99,33,7,13,271,9,33,11,9,13,30,13,33,30,9,13,7
11,331,23,11,11,11,9,0,302,9,11,23,11,18,9,9,9,13,11,185,9,317,13,23,72,11,9,18,13,11,316,9,155,11,23,247,178,9,11
10,302,23,10,10,11,30,302,0,26,10,23,11,18,30,11,9,10,11,156,9,288,27,23,43,11,30,18,13,11,287,10,306,10,23,377,149,10,11
163,9,255,160,48,124,8,9,26,0,103,48,211,8,8,19,51,19,242,38,8,15,13,255,30,59,13,8,32,38,15,143,76,289,255,9,11,143,38
247,11,10,327,10,14,13,11,10,103,0,21,30,9,13,19,19,13,15,14,13,11,13,13,11,187,13,9,32,14,11,13,10,226,19,10,11,13,14
48,23,178,48,12,10,33,23,23,48,21,0,67,25,33,49,127,12,127,13,33,13,12,271,13,21,8,9,309,161,13,54,23,48,316,13,13,44,23
20,11,262,43,107,346,15,11,11,211,30,67,0,8,15,9,150,26,303,11,15,11,12,262,13,292,12,7,10,10,11,244,15,180,219,11,11,235,13
9,18,14,9,17,8,9,18,18,8,9,25,8,0,9,260,251,19,123,18,9,18,19,25,9,9,19,300,8,9,18,9,11,9,25,18,18,9,9
13,9,8,13,13,15,414,9,30,8,13,33,15,9,0,9,9,13,8,9,301,9,79,33,7,13,251,9,33,11,9,13,30,13,33,30,9,13,7
19,9,49,19,8,8,9,9,11,19,19,49,9,260,9,0,306,19,178,9,9,9,19,49,9,8,19,100,8,9,9,17,11,19,49,8,9,17,9
51,9,210,51,10,88,9,9,9,51,19,127,150,251,9,306,0,19,339,13,9,12,19,210,13,18,19,91,10,10,12,132,9,51,210,9,12,123,13
8,13,149,13,279,26,13,13,10,19,13,12,26,19,13,19,19,0,26,13,13,13,252,28,8,26,115,8,8,8,13,176,10,19,12,10,13,174,8
51,11,322,51,107,241,8,11,11,242,15,127,303,123,8,178,339,26,0,11,8,11,19,322,13,171,19,11,10,10,11,244,15,211,279,11,11,235,13
14,281,13,14,20,11,9,185,156,38,14,13,11,18,9,9,13,13,11,0,9,312,13,13,324,11,9,18,13,214,313,13,11,38,13,101,310,13,228
