# Generated by ../matriz.pl date: Tue Sep 17 09:53:52 2013
# pairs file: pairs_conservative.txt symetric matrix 68 fragments
0,11,43,258,10,12,11,13,190,43,11,14,13,19,43,13,13,13,260,32,249,14,12,13,189,9,197,13,254,260,11,43,10,43,14,13,14,13,20,43,43,26,26,119,43,214,26,43,43,43,26,9,19,13,43,175,9,12,65,10,51,26,155,10,74,105,260,43
11,0,13,11,8,11,411,13,11,13,298,23,9,9,11,9,13,9,11,13,11,23,11,13,11,18,11,9,11,11,349,13,250,11,13,9,203,9,10,13,20,11,124,11,9,11,59,13,20,11,11,18,18,9,9,11,18,11,11,188,11,31,11,13,11,11,11,13
43,13,0,38,264,192,13,54,39,285,10,39,13,22,322,114,12,13,48,10,32,14,209,138,10,9,152,49,255,44,13,234,10,322,11,12,27,12,13,295,296,143,143,255,185,39,114,321,279,307,143,9,22,13,72,58,9,217,255,10,255,143,13,298,81,13,152,207
258,11,38,0,13,42,11,13,328,38,11,14,13,19,38,13,13,13,337,32,255,14,116,13,281,9,195,13,252,259,11,38,10,19,14,13,14,13,15,38,38,26,10,117,38,352,10,38,38,57,26,9,19,13,38,313,9,15,63,10,49,10,283,13,212,243,342,38
10,8,264,13,0,66,8,122,39,19,10,8,13,7,66,182,12,13,10,8,10,8,66,206,10,17,10,117,19,10,8,10,10,66,8,12,8,12,13,29,40,19,19,19,8,39,19,55,23,66,19,17,17,13,8,58,17,66,19,10,19,19,13,121,66,13,10,12
12,11,192,42,66,0,11,12,167,146,11,10,8,8,215,12,12,8,12,10,12,10,319,12,15,7,29,12,124,12,11,94,11,296,10,12,9,12,8,156,165,124,124,124,57,170,59,184,154,319,124,10,8,8,8,187,7,266,124,11,124,124,32,192,208,126,29,67
11,411,13,11,8,11,0,13,11,13,280,23,9,9,11,9,13,9,11,13,11,23,11,13,11,18,10,9,11,11,338,13,232,11,13,9,192,9,10,13,20,9,106,9,9,11,41,13,20,11,11,18,18,9,9,11,18,11,9,170,15,13,11,13,11,11,11,13
13,13,54,13,122,12,13,0,13,12,13,7,149,19,19,411,287,69,13,10,13,7,12,280,13,8,13,406,10,13,13,12,29,19,7,181,8,177,8,12,19,10,29,10,19,13,29,12,19,12,29,8,19,136,19,13,9,12,10,29,25,29,13,12,13,13,13,12
190,11,39,328,39,167,11,13,0,19,11,14,13,8,63,13,13,13,269,21,196,14,241,12,281,9,127,13,184,191,11,9,11,144,14,13,14,13,15,19,13,9,10,49,8,453,10,31,11,182,9,9,9,13,8,438,9,114,9,11,9,10,283,39,337,327,274,21
43,13,285,38,19,146,13,12,19,0,23,224,33,22,276,12,8,33,48,55,32,199,163,12,21,9,152,12,255,44,13,298,23,276,196,8,27,33,33,470,276,143,143,255,185,21,114,470,276,261,143,9,22,33,72,21,9,171,255,23,255,143,21,196,35,21,152,297
11,298,10,11,10,11,280,13,11,23,0,23,9,9,11,10,13,9,11,13,11,23,11,10,11,18,10,9,11,11,207,23,307,11,13,9,61,9,7,23,9,11,181,9,9,11,116,23,9,11,39,18,18,9,9,11,18,11,11,245,11,88,11,9,11,11,11,23
14,23,39,14,8,10,23,7,14,224,23,0,33,22,22,7,10,33,29,261,14,470,10,8,14,9,29,7,29,14,20,103,13,22,460,7,238,33,33,264,22,29,29,29,22,14,23,267,22,10,12,9,22,33,22,14,9,10,29,13,29,12,14,10,14,14,29,129
