# Generated by ../matriz.pl date: Tue Sep 17 09:51:55 2013
# pairs file: pairs_conservative.txt symetric matrix 66 fragments
0,11,48,265,10,12,11,13,115,48,11,14,13,19,51,13,13,13,266,32,256,32,12,13,184,9,185,13,156,264,11,48,10,51,14,13,14,13,20,48,51,26,26,132,51,222,9,48,51,12,26,9,9,13,19,183,9,12,43,9,64,26,163,10,82,113
11,0,23,11,11,11,354,13,11,23,310,13,9,9,9,9,13,9,11,13,11,23,11,13,11,18,10,9,9,11,194,23,230,11,13,9,18,9,9,23,9,9,26,9,9,11,72,23,9,11,15,18,18,9,9,11,18,11,9,143,9,44,11,9,11,11
48,23,0,48,161,193,23,8,39,297,23,10,8,37,239,8,8,8,48,10,38,27,146,14,10,9,152,8,255,48,13,226,23,298,10,8,27,8,8,196,304,143,143,248,92,10,66,210,288,230,143,9,9,8,62,10,9,193,235,23,255,96,13,290,30,13
265,11,48,0,10,12,11,13,197,48,11,14,13,19,49,13,13,13,347,32,265,32,69,13,266,9,182,13,153,269,11,48,10,49,14,13,14,13,14,48,49,26,10,129,49,304,10,48,49,10,26,9,9,13,19,265,9,12,40,10,61,10,245,10,164,195
10,11,161,10,0,76,11,34,39,32,11,8,13,7,13,49,12,13,10,8,10,8,76,138,10,17,10,12,22,10,8,10,10,76,8,12,8,12,13,12,58,22,22,15,8,10,22,12,42,76,22,17,17,12,8,10,17,76,22,10,22,22,13,134,30,13
12,11,193,12,76,0,11,12,150,149,11,10,8,8,111,12,12,8,12,10,12,10,254,12,15,7,29,12,124,12,20,78,11,302,10,12,9,8,8,48,177,124,124,124,8,58,59,56,166,302,124,7,7,8,8,84,7,278,124,10,124,59,15,193,139,78
11,354,23,11,11,11,0,13,11,23,291,13,9,9,9,9,13,9,11,13,11,23,11,13,11,18,10,9,9,11,196,23,211,11,13,9,20,9,9,23,9,9,11,9,9,11,53,23,9,11,15,18,18,9,9,11,18,11,9,124,9,25,11,9,11,11
13,13,8,13,34,12,13,0,13,8,13,7,85,19,19,356,285,82,13,10,13,7,12,225,13,8,13,295,10,13,13,8,30,12,7,176,10,133,8,8,19,10,30,10,19,13,30,8,19,12,30,8,9,149,19,13,9,12,10,30,10,30,13,12,13,13
115,11,39,197,39,150,11,13,0,19,11,14,13,8,11,13,12,13,198,21,124,21,253,12,211,9,32,13,9,120,11,9,11,156,14,13,14,13,15,21,25,9,10,8,8,289,10,21,14,194,9,9,9,13,8,315,9,126,9,10,9,10,234,39,337,307
48,23,297,48,32,149,23,8,19,0,23,45,21,37,239,8,8,21,48,10,38,121,102,12,21,9,152,8,255,48,13,290,23,254,32,8,27,21,21,290,278,143,143,248,92,21,66,304,278,186,143,9,9,21,62,21,9,149,235,23,255,96,21,188,21,21
