# Generated by ../matriz.pl date: Tue Sep 17 09:49:35 2013
# pairs file: pairs_raw.txt symetric matrix 48 fragments
0,17,43,258,43,43,43,43,16,110,199,43,43,19,43,20,13,9,43,22,15,16,43,17,22,13,16,20,9,43,15,260,20,43,43,43,19,20,22,41,43,22,16,43,43,43,174,22
17,0,13,17,11,19,411,13,13,13,17,24,19,11,11,13,13,18,10,292,16,13,12,366,110,13,13,20,18,12,16,17,10,23,11,18,265,13,60,86,86,45,45,45,45,45,45,45
43,13,0,38,264,192,13,54,12,255,19,223,307,55,322,114,12,9,322,60,60,60,145,60,58,58,58,302,58,322,58,58,371,315,322,58,58,366,110,254,145,27,13,322,375,244,19,27
258,17,38,0,19,42,17,13,16,108,291,38,37,19,38,20,20,9,38,22,13,16,38,17,22,13,16,19,10,38,15,396,19,38,38,38,19,19,22,39,38,22,16,38,38,38,312,22
43,11,264,19,0,66,12,122,12,19,19,15,66,55,66,182,12,9,66,60,60,60,60,60,58,58,58,315,58,66,58,58,332,114,66,58,58,198,110,29,12,12,13,66,109,66,19,12
43,19,192,42,66,0,12,13,12,124,17,82,313,176,215,13,12,8,190,56,56,56,56,56,58,58,58,104,58,191,58,69,173,174,195,58,58,192,58,124,15,12,12,268,192,230,76,12
43,411,13,17,12,12,0,45,45,45,45,24,19,11,11,13,13,18,10,281,16,13,12,348,99,13,13,20,18,12,16,17,10,23,11,18,265,13,49,68,68,45,45,45,45,45,45,45
43,13,54,13,122,13,45,0,192,13,13,12,13,19,19,411,286,9,19,13,234,19,19,13,13,265,15,105,13,19,106,13,137,13,19,19,19,13,13,29,19,12,84,19,12,13,13,12
16,13,12,16,12,12,45,192,0,16,13,33,12,13,13,240,194,18,13,10,355,278,13,13,11,129,250,13,9,13,311,16,13,19,13,9,15,9,9,30,13,24,371,13,19,9,16,11
110,13,255,108,19,124,45,13,16,0,49,197,242,19,242,19,13,8,242,38,13,16,51,13,38,13,16,48,13,242,9,113,114,255,242,13,14,143,38,296,51,38,16,242,255,165,25,38
199,17,19,291,19,17,45,13,13,49,0,21,17,17,17,20,13,9,15,22,15,16,11,17,22,10,16,19,10,15,13,291,19,21,15,9,11,19,22,12,11,22,16,17,21,17,266,22
43,24,223,38,15,82,24,12,33,197,21,0,197,22,212,12,8,9,212,18,18,33,145,24,146,146,146,129,129,212,73,54,64,234,212,29,29,125,29,196,145,242,33,212,307,134,21,205
43,19,307,37,66,313,19,13,12,242,17,197,0,22,337,13,20,14,313,19,12,11,136,19,10,16,16,103,44,313,16,64,173,289,317,68,53,234,13,241,138,13,13,390,307,350,70,10
19,11,55,19,55,176,11,19,13,19,17,22,22,0,218,19,19,201,247,9,13,18,222,9,9,19,8,8,74,118,18,19,8,22,127,13,9,11,9,9,260,9,18,103,22,12,9,14
43,11,322,38,66,215,11,19,13,242,17,212,337,218,0,19,19,159,508,56,56,56,333,56,58,58,58,104,58,409,58,58,173,304,422,58,58,234,58,241,333,13,12,418,322,269,15,12
20,13,114,20,182,13,13,411,240,19,20,12,13,19,19,0,292,9,19,13,282,61,19,13,13,265,15,165,13,19,154,20,197,13,19,19,19,49,13,29,29,12,132,19,14,13,20,12
13,13,12,20,12,12,13,286,194,13,13,8,20,19,19,292,0,14,19,13,236,19,19,13,10,224,14,12,14,19,107,13,12,12,19,12,13,12,12,30,19,10,87,19,11,8,13,10
9,18,9,9,9,8,18,9,18,8,9,9,14,201,159,9,14,0,188,18,18,18,163,18,16,9,8,17,310,59,18,9,17,9,68,249,18,9,11,16,208,15,18,44,9,10,9,15
43,10,322,38,66,190,10,19,13,242,15,212,313,247,508,19,19,188,0,13,13,18,336,9,10,19,16,103,58,408,101,46,173,304,417,172,157,234,57,241,363,13,18,393,322,326,15,15
22,292,60,22,60,56,281,13,10,38,22,18,19,9,56,13,13,18,13,0,16,11,11,218,302,40,40,20,18,13,11,22,11,13,11,18,265,11,252,38,11,206,11,11,13,11,14,165
15,16,60,13,60,56,16,234,355,13,15,18,12,13,56,282,236,18,13,16,0,176,13,10,10,171,126,12,9,13,269,13,9,9,13,9,15,9,8,30,13,19,247,13,9,9,13,8
16,13,60,16,60,56,13,19,278,16,16,33,11,18,56,61,19,18,18,11,176,0,18,16,11,19,229,13,9,11,219,16,13,19,11,19,16,18,9,12,18,24,279,11,19,19,19,11
43,12,145,38,60,56,12,19,13,51,11,145,136,222,333,19,19,163,336,11,13,18,0,15,13,19,15,15,33,231,101,46,12,136,240,172,157,57,57,50,336,15,18,216,136,149,15,15
17,366,60,17,60,56,348,13,13,13,17,24,19,9,56,13,13,18,9,218,10,16,15,0,45,45,45,45,45,45,45,45,45,45,45,45,211,45,45,109,109,45,45,45,45,45,45,45
22,110,58,22,58,58,99,13,11,38,22,146,10,9,58,13,10,16,10,302,10,11,13,45,0,11,11,20,16,10,14,14,10,10,10,16,90,10,256,38,13,385,109,10,10,10,14,344
13,13,58,13,58,58,13,265,129,13,10,146,16,19,58,265,224,9,19,40,171,19,19,45,11,0,8,21,9,19,42,13,55,55,35,35,35,35,35,11,19,11,22,19,14,8,11,11
16,13,58,16,58,58,13,15,250,16,16,146,16,8,58,15,14,8,16,40,126,229,15,45,11,8,0,13,9,11,169,16,13,19,11,8,16,9,9,10,8,24,251,11,19,19,19,11
20,20,302,19,315,104,20,105,13,48,19,129,103,8,104,165,12,17,103,20,12,13,15,45,20,21,13,0,13,104,13,19,353,97,104,9,20,236,110,48,12,14,13,104,147,104,19,13
9,18,58,10,58,58,18,13,9,13,10,129,44,74,58,13,14,310,58,18,9,9,33,45,16,9,9,13,0,11,11,9,9,9,11,250,18,9,9,16,78,9,9,11,9,9,9,11
43,12,322,38,66,191,12,19,13,242,15,212,313,118,409,19,19,59,408,13,13,11,231,45,10,19,11,104,11,0,9,49,173,304,409,11,10,234,13,241,233,13,13,394,322,245,16,15
15,16,58,15,58,58,16,106,311,9,13,73,16,18,58,154,107,18,101,11,269,219,101,45,14,42,169,13,11,9,0,13,12,9,11,9,16,18,18,30,18,24,290,11,9,9,13,14
260,17,58,396,58,69,17,13,16,113,291,54,64,19,58,20,13,9,46,22,13,16,46,45,14,13,16,19,9,49,13,0,19,46,46,46,19,19,22,44,46,22,16,46,46,46,339,22
20,10,371,19,332,173,10,137,13,114,19,64,173,8,173,197,12,17,173,11,9,13,12,45,10,55,13,353,9,173,12,19,0,156,173,17,20,306,9,114,29,14,13,173,216,173,19,10
43,23,315,38,114,174,23,13,19,255,21,234,289,22,304,13,12,9,304,13,9,19,136,45,10,55,19,97,9,304,9,46,156,0,304,9,24,217,13,254,145,27,19,304,326,226,21,27
43,11,322,38,66,195,11,19,13,242,15,212,317,127,422,19,19,68,417,11,13,11,240,45,10,35,11,104,11,409,11,46,173,304,0,11,11,234,13,241,242,13,13,398,322,249,16,15
43,18,58,38,58,58,18,19,9,13,9,29,68,13,58,19,12,249,172,18,9,19,172,45,16,35,8,9,250,11,9,46,17,9,11,0,18,9,15,16,21,9,9,11,9,9,13,11
19,265,58,19,58,58,265,19,15,14,11,29,53,9,58,19,13,18,157,265,15,16,157,211,90,35,16,20,18,10,16,19,20,24,11,18,0,12,40,13,10,18,16,19,20,11,11,10
20,13,366,19,198,192,13,13,9,143,19,125,234,11,234,49,12,9,234,11,9,18,57,45,10,35,9,236,9,234,18,19,306,217,234,9,12,0,13,143,58,14,9,234,277,234,19,10
22,60,110,22,110,58,49,13,9,38,22,29,13,9,58,13,12,11,57,252,8,9,57,45,256,35,9,110,9,13,18,22,9,13,13,15,40,13,0,38,11,211,11,13,13,13,14,170
41,86,254,39,29,124,68,29,30,296,12,196,241,9,241,29,30,16,241,38,30,12,50,109,38,11,10,48,16,241,30,44,114,254,241,16,13,143,38,0,50,38,30,241,254,244,12,38
43,86,145,38,12,15,68,19,13,51,11,145,138,260,333,29,19,208,363,11,13,18,336,109,13,19,8,12,78,233,18,46,29,145,242,21,10,58,11,50,0,15,18,218,146,151,15,15
22,45,27,22,12,12,45,12,24,38,22,242,13,9,13,12,10,15,13,206,19,24,15,45,385,11,24,14,9,13,24,22,14,27,13,9,18,14,211,38,15,0,24,13,27,13,14,403
16,45,13,16,13,12,45,84,371,16,16,33,13,18,12,132,87,18,18,11,247,279,18,45,109,22,251,13,9,13,290,16,13,19,13,9,16,9,11,30,18,24,0,11,19,19,19,11
43,45,322,38,66,268,45,19,13,242,17,212,390,103,418,19,19,44,393,11,13,11,216,45,10,19,11,104,11,394,11,46,173,304,398,11,19,234,13,241,218,13,11,0,322,284,25,15
43,45,375,38,109,192,45,12,19,255,21,307,307,22,322,14,11,9,322,13,9,19,136,45,10,14,19,147,9,322,9,46,216,326,322,9,20,277,13,254,146,27,19,322,0,244,21,27
