# Generated by ../matriz.pl date: Tue Sep 17 09:53:52 2013
# pairs file: pairs_raw.txt symetric matrix 68 fragments
0,17,43,258,43,43,43,43,190,43,17,22,14,19,43,20,13,16,260,59,249,22,17,20,189,9,197,13,254,260,17,43,17,43,22,14,22,13,16,43,43,26,26,118,43,214,26,43,43,43,37,37,19,16,43,175,10,17,65,12,50,26,155,14,74,105,260,43
17,0,13,17,11,19,411,13,17,23,307,13,13,9,11,13,13,13,17,17,17,13,19,23,17,18,13,16,17,17,349,52,250,19,13,16,203,16,13,13,12,13,124,13,9,17,62,13,12,19,13,18,18,16,9,17,18,19,13,188,13,30,30,30,17,17,17,11
43,13,0,38,264,192,13,54,39,284,115,39,13,22,322,114,12,13,48,27,20,15,209,138,13,13,152,49,255,143,16,234,29,322,15,10,13,12,13,295,296,143,143,255,185,39,114,321,278,307,143,9,22,13,72,58,9,217,255,29,255,143,19,297,81,19,152,207
258,17,38,0,19,42,17,13,328,38,17,22,14,19,38,20,20,16,336,137,255,22,116,19,280,17,195,13,252,258,17,38,17,19,22,14,22,13,16,38,38,26,12,116,38,352,12,38,38,57,37,37,19,16,38,313,10,17,63,12,48,14,283,14,212,243,342,38
43,11,264,19,0,66,10,122,39,18,29,15,13,13,66,182,12,13,19,19,20,15,66,206,19,9,10,117,19,19,12,10,29,66,15,12,19,12,13,29,40,40,29,19,12,39,29,55,22,66,21,9,9,13,8,58,9,66,19,29,19,29,19,120,66,19,19,13
43,19,192,42,66,0,11,13,167,142,113,13,9,12,215,13,12,9,19,17,17,13,319,24,17,24,24,13,124,124,13,94,19,296,61,61,20,12,9,156,165,124,124,124,57,170,59,184,153,319,124,110,24,24,24,187,9,266,124,11,124,124,32,192,208,126,19,67
43,411,13,17,10,11,0,13,17,23,289,13,13,9,11,13,13,13,17,17,17,13,19,23,17,18,13,16,17,17,338,41,232,19,13,16,192,16,13,13,12,13,106,13,9,17,44,13,12,19,13,18,18,16,9,17,18,19,13,170,13,13,17,12,17,17,17,23
43,13,54,13,122,13,13,0,13,12,13,12,149,19,19,411,286,68,13,19,13,12,13,280,13,9,13,406,13,13,13,12,28,19,12,181,10,177,8,12,19,13,29,13,19,13,29,12,19,13,29,9,19,135,87,13,9,13,13,29,25,29,13,12,13,13,13,12
190,17,39,328,39,167,17,13,0,21,17,14,16,22,63,20,13,13,269,17,196,14,240,49,281,49,127,13,184,191,17,21,17,144,61,61,11,13,16,21,23,13,12,49,9,453,85,21,23,181,124,124,38,38,38,437,105,114,105,67,64,64,283,64,438,326,274,21
43,23,284,38,18,142,23,12,21,0,42,224,33,22,276,12,11,33,48,55,32,199,163,12,21,10,152,12,255,44,13,298,30,276,196,27,27,33,33,470,276,106,143,255,185,21,114,470,276,261,53,53,53,53,53,52,52,171,255,52,255,143,52,196,52,52,152,297
